Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,MR,MRR,Hits@1,Hits@3,Hits@10
0,_hyponym,1206,7193,1-N,8774.217247,0.296513,0.257877,0.317993,0.367330
1,_hypernym,1181,7296,M-1,8543.281964,0.311043,0.268417,0.337003,0.389077
2,_member_holonym,249,6875,M-1,349.580321,0.769208,0.686747,0.835341,0.913655
3,_derivationally_related_form,1038,7191,1-1,9189.092486,0.344655,0.272640,0.411368,0.443642
4,_instance_hypernym,110,2679,M-1,27.272727,0.546221,0.454545,0.586364,0.695455
5,_also_see,46,1205,M-N,595.913043,0.698398,0.554348,0.836957,0.934783
6,_member_meronym,225,6882,1-N,202.108889,0.786962,0.702222,0.851111,0.960000
7,_member_of_domain_topic,101,2833,1-N,1069.509901,0.571252,0.519802,0.584158,0.668317
8,_part_of,144,4410,M-1,3.961806,0.716511,0.590278,0.812500,0.927083
9,_instance_hyponym,100,2674,1-N,232.650000,0.553834,0.475000,0.590000,0.685000
10,_synset_domain_topic_of,120,2871,M-1,106.337500,0.560314,0.512500,0.566667,0.633333
11,_has_part,156,4417,1-N,359.625000,0.709977,0.599359,0.798077,0.894231
12,_member_of_domain_usage,24,569,1-N,36.270833,0.533033,0.500000,0.541667,0.604167
13,_member_of_domain_region,25,845,1-N,25.240000,0.667844,0.600000,0.680000,0.800000
14,_synset_domain_usage_of,23,575,M-1,32.260870,0.559375,0.521739,0.565217,0.630435
15,_synset_domain_region_of,34,849,M-1,39.161765,0.546029,0.455882,0.617647,0.676471
16,_verb_group,51,1054,1-1,1.196078,0.911765,0.833333,1.000000,1.000000
17,_similar_to,1,69,1-1,1.000000,1.000000,1.000000,1.000000,1.000000
