Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,MR,MRR,Hits@1,Hits@3,Hits@10
0,/location/country/form_of_government,33,293,M-N,17.28787878787879,0.4014297832142223,0.24242424242424243,0.5454545454545454,0.5909090909090909
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,137,353,1-N,766.8941605839416,0.29972148811730154,0.22627737226277372,0.34306569343065696,0.4343065693430657
2,/media_common/netflix_genre/titles,302,354,1-N,837.6986754966888,0.20933371032310638,0.1490066225165563,0.22350993377483444,0.3344370860927152
3,/award/award_winner/awards_won./award/award_honor/award_winner,937,344,1-1,2125.2774813233723,0.05943264956153699,0.03468516542155817,0.05496264674493063,0.10832443970117396
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,262,354,M-1,328.1965648854962,0.2857366372610777,0.15458015267175573,0.38740458015267176,0.5133587786259542
5,/sports/sports_position/players./soccer/football_roster_position/team,260,353,1-N,303.1403846153846,0.27263996417705827,0.13846153846153847,0.3769230769230769,0.5
6,/government/political_district/representatives./government/government_position_held/legislative_sessions,131,352,M-N,16.572519083969464,0.15620055453467915,0.04198473282442748,0.13358778625954199,0.42366412213740456
7,/film/film/starring./film/performance/actor,1050,356,1-1,2824.1795238095237,0.05202012924920945,0.039047619047619046,0.05476190476190476,0.0719047619047619
8,/soccer/football_team/current_roster./soccer/football_roster_position/position,247,359,M-1,320.17206477732793,0.2817763664461823,0.14979757085020243,0.39271255060728744,0.5060728744939271
9,/film/actor/film./film/performance/film,1035,342,1-1,2578.916425120773,0.052936107985639344,0.04106280193236715,0.057004830917874394,0.06859903381642513
10,/award/award_nominated_work/award_nominations./award/award_nomination/award,1040,351,M-1,521.7278846153846,0.07899742860060471,0.03317307692307692,0.07355769230769231,0.16875
11,/award/award_category/nominees./award/award_nomination/nominated_for,1116,347,1-N,580.6160394265233,0.08263114190870716,0.03853046594982079,0.08243727598566308,0.16218637992831542
