Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,Filtered MR,Filtered MRR,Filtered Hits@1,Filtered Hits@3,Filtered Hits@10
0,/location/country/form_of_government,33,293,M-N,1.6666666666666667,0.9461400003144236,0.9242424242424242,0.9545454545454546,0.9848484848484849
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,137,353,1-N,765.8795620437957,0.3741554761455007,0.3357664233576642,0.39416058394160586,0.4416058394160584
2,/media_common/netflix_genre/titles,302,354,1-N,828.3609271523179,0.26999280310624485,0.21688741721854304,0.2814569536423841,0.3791390728476821
3,/award/award_winner/awards_won./award/award_honor/award_winner,937,344,1-1,2124.8436499466384,0.06583575937765766,0.04108858057630736,0.064034151547492,0.1152614727854856
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,262,354,M-1,284.3416030534351,0.4048948215164301,0.2958015267175573,0.5019083969465649,0.5858778625954199
5,/sports/sports_position/players./soccer/football_roster_position/team,260,353,1-N,259.07884615384614,0.37909246591421275,0.25769230769230766,0.4826923076923077,0.575
6,/government/political_district/representatives./government/government_position_held/legislative_sessions,131,352,M-N,9.416030534351146,0.4253960238158248,0.3320610687022901,0.4389312977099237,0.6297709923664122
7,/film/film/starring./film/performance/actor,1050,356,1-1,2823.903333333333,0.05662413097563244,0.04666666666666667,0.05619047619047619,0.07333333333333333
8,/soccer/football_team/current_roster./soccer/football_roster_position/position,247,359,M-1,276.502024291498,0.3981063163232224,0.2773279352226721,0.5161943319838057,0.5890688259109311
9,/film/actor/film./film/performance/film,1035,342,1-1,2578.664734299517,0.05656750444052876,0.04685990338164251,0.057971014492753624,0.06908212560386473
10,/award/award_nominated_work/award_nominations./award/award_nomination/award,1040,351,M-1,519.6067307692308,0.09788515384380635,0.05480769230769231,0.09567307692307692,0.18028846153846154
11,/award/award_category/nominees./award/award_nomination/nominated_for,1116,347,1-N,578.4968637992831,0.10280060853582129,0.06406810035842293,0.09901433691756273,0.17383512544802868
12,/organization/membership_organization/members./organization/organization_membership/member,101,333,M-N,14.638613861386139,0.6189356133489325,0.5445544554455446,0.6386138613861386,0.801980198019802
13,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,1761,346,1-1,3102.1328790459966,0.042637341405639996,0.02867688813174333,0.04088586030664395,0.06956274843838728
14,/olympics/olympic_sport/olympic_games_contested,72,367,M-N,3.701388888888889,0.6522995101081001,0.5486111111111112,0.6944444444444444,0.8819444444444444
15,/music/performance_role/regular_performances./music/group_membership/role,292,353,M-N,49.70205479452055,0.19897498823192022,0.14726027397260275,0.1815068493150685,0.2773972602739726
