Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,MR,MRR,Hits@1,Hits@3,Hits@10
0,/location/country/form_of_government,33,291,M-N,17.181818181818183,0.42040717963016394,0.30303030303030304,0.5303030303030303,0.5909090909090909
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,140,364,1-N,538.6,0.3833566393171038,0.3,0.4142857142857143,0.5392857142857143
2,/media_common/netflix_genre/titles,275,356,1-N,461.7927272727273,0.2517819491299716,0.1618181818181818,0.2963636363636364,0.4218181818181818
3,/award/award_winner/awards_won./award/award_honor/award_winner,950,351,1-1,1142.6447368421052,0.11402117277446545,0.06736842105263158,0.11842105263157894,0.20789473684210527
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,241,348,M-1,405.344398340249,0.2551871177071852,0.11618257261410789,0.35477178423236516,0.5062240663900415
5,/sports/sports_position/players./soccer/football_roster_position/team,239,352,1-N,292.2615062761506,0.2856188658391083,0.14853556485355648,0.40794979079497906,0.5104602510460251
6,/government/political_district/representatives./government/government_position_held/legislative_sessions,128,355,M-N,15.50390625,0.18393796682357788,0.0625,0.15625,0.47265625
7,/film/film/starring./film/performance/actor,1095,341,1-1,1541.292694063927,0.07370553212623074,0.052054794520547946,0.07945205479452055,0.10639269406392694
8,/soccer/football_team/current_roster./soccer/football_roster_position/position,242,360,M-1,378.448347107438,0.27228158367566824,0.14049586776859505,0.38016528925619836,0.493801652892562
9,/film/actor/film./film/performance/film,1004,335,1-1,1460.9945219123506,0.0716949250118666,0.054780876494023904,0.07619521912350598,0.09760956175298804
10,/award/award_nominated_work/award_nominations./award/award_nomination/award,1048,348,M-1,340.1875,0.08692049798164658,0.035305343511450385,0.08349236641221373,0.17795801526717558
11,/award/award_category/nominees./award/award_nomination/nominated_for,1048,351,1-N,365.5854007633588,0.09520501580857138,0.042938931297709926,0.0916030534351145,0.19370229007633588
12,/organization/membership_organization/members./organization/organization_membership/member,87,354,M-N,33.41379310344828,0.32727807143638876,0.20114942528735633,0.39080459770114945,0.5632183908045977
13,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,1766,351,1-1,1836.3700453001134,0.059653203322690314,0.03284258210645526,0.06058890147225368,0.112400906002265
14,/olympics/olympic_sport/olympic_games_contested,71,350,M-N,10.866197183098592,0.20471559443943937,0.06338028169014084,0.176056338028169,0.5633802816901409
15,/music/performance_role/regular_performances./music/group_membership/role,327,351,M-N,41.72477064220183,0.11371539054660622,0.045871559633027525,0.09938837920489296,0.24311926605504589
16,/award/award_category/winners./award/award_honor/ceremony,326,347,M-N,72.96779141104294,0.14174191059510402,0.04447852760736196,0.1303680981595092,0.34202453987730064
17,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,163,347,M-1,557.1779141104295,0.4846834522083493,0.4662576687116564,0.49693251533742333,0.5122699386503068
18,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,326,361,1-N,1480.6625766871166,0.4505674210062788,0.4125766871165644,0.4815950920245399,0.4938650306748466
19,/award/award_winning_work/awards_won./award/award_honor/award_winner,325,347,1-1,554.5015384615384,0.3324709144005409,0.2553846153846154,0.38153846153846155,0.48
20,/film/film/release_date_s./film/film_regional_release_date/film_release_region,1374,358,M-1,375.3824599708879,0.061852339920865744,0.02074235807860262,0.04912663755458515,0.13136826783114994
21,/film/film/language,258,349,M-1,545.0872093023256,0.3335431416829427,0.2771317829457364,0.35271317829457366,0.4496124031007752
22,/music/artist/genre,659,345,M-1,645.9954476479514,0.10473990548905183,0.05538694992412747,0.10773899848254932,0.19726858877086495
23,/location/location/containedby,580,358,M-1,1041.183620689655,0.20616680013722388,0.14482758620689656,0.2206896551724138,0.3232758620689655
24,/people/person/ethnicity,221,343,M-1,787.5723981900453,0.254488327923943,0.16968325791855204,0.2737556561085973,0.43665158371040724
25,/education/educational_institution/students_graduates./education/education/degree,239,341,M-1,115.98326359832636,0.19614391247098914,0.09414225941422594,0.2112970711297071,0.4372384937238494
26,/award/award_category/nominees./award/award_nomination/award_nominee,1346,355,1-N,832.0211738484398,0.09997169755366014,0.05794947994056464,0.10326894502228826,0.17830609212481427
27,/award/award_ceremony/awards_presented./award/award_honor/award,301,353,M-N,110.33554817275747,0.1469142698370341,0.05149501661129568,0.12292358803986711,0.3637873754152824
28,/location/location/contains,592,357,1-N,1174.1537162162163,0.19313058337649783,0.13175675675675674,0.21621621621621623,0.3108108108108108
29,/organization/organization/headquarters./location/mailing_address/country,17,176,M-1,565.9411764705883,0.4744478113511029,0.4411764705882353,0.5,0.5294117647058824
30,/people/person/profession,1284,348,M-1,1321.7904984423676,0.1487269297567112,0.07982866043613707,0.15537383177570094,0.3235981308411215
31,/film/film_job/films_with_this_crew_job./film/film_crew_gig/film,651,358,1-N,381.97081413210446,0.15903073265438988,0.06451612903225806,0.17665130568356374,0.3986175115207373
32,/people/profession/people_with_this_profession,1291,343,1-N,1299.0460883036405,0.15508016738477923,0.08094500387296669,0.16769945778466305,0.33501161890007747
33,/film/film_costumer_designer/costume_design_for_film,19,183,1-N,5.947368421052632,0.5870656967163086,0.5263157894736842,0.5789473684210527,0.7105263157894737
34,/location/statistical_region/religions./location/religion_percentage/religion,73,356,M-N,19.356164383561644,0.22738226799115743,0.10273972602739725,0.2328767123287671,0.5273972602739726
35,/film/film_genre/films_in_this_genre,786,357,1-N,645.5235368956743,0.12018130935785425,0.05597964376590331,0.1316793893129771,0.24236641221374045
36,/tv/tv_genre/programs,103,356,M-N,28.932038834951456,0.2933313314197133,0.15048543689320387,0.3446601941747573,0.6067961165048543
37,/award/award_nominee/award_nominations./award/award_nomination/award,1340,346,M-1,964.5111940298508,0.08535126074036556,0.04626865671641791,0.08097014925373135,0.1578358208955224
38,/music/genre/artists,663,353,1-N,565.7164404223228,0.10505754519731571,0.05128205128205128,0.10708898944193061,0.20889894419306185
39,/influence/influence_node/influenced_by,208,347,M-1,395.00240384615387,0.24401541856619027,0.1658653846153846,0.27163461538461536,0.3942307692307692
