Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,MR,MRR,Hits@1,Hits@3,Hits@10
0,_hyponym,1165,6428,1-N,9027.316738,0.321160,0.288841,0.336052,0.383691
1,_hypernym,1198,7684,M-1,10172.189482,0.298530,0.268781,0.320117,0.350167
2,_member_holonym,257,6813,M-1,253.392996,0.783585,0.725681,0.815175,0.906615
3,_derivationally_related_form,1041,7274,1-1,11608.397695,0.333925,0.278098,0.388088,0.406820
4,_instance_hypernym,95,2693,M-1,208.063158,0.559307,0.463158,0.610526,0.710526
5,_also_see,50,1194,M-N,15.560000,0.694918,0.510000,0.890000,0.970000
6,_member_meronym,265,6853,1-N,74.415094,0.774559,0.688679,0.832075,0.947170
7,_member_of_domain_topic,123,2877,1-N,171.219512,0.586378,0.516260,0.609756,0.727642
8,_part_of,164,4457,M-1,174.399390,0.697767,0.594512,0.765244,0.905488
9,_instance_hyponym,92,2694,1-N,25.076087,0.583230,0.478261,0.657609,0.744565
10,_synset_domain_topic_of,95,2845,M-1,560.578947,0.572142,0.515789,0.589474,0.705263
11,_has_part,162,4402,1-N,115.762346,0.735227,0.629630,0.802469,0.944444
12,_member_of_domain_usage,13,591,1-N,32.730769,0.554644,0.538462,0.538462,0.576923
13,_member_of_domain_region,31,859,1-N,63.193548,0.597823,0.548387,0.612903,0.709677
14,_synset_domain_usage_of,22,585,M-1,32.295455,0.497190,0.454545,0.500000,0.545455
15,_synset_domain_region_of,34,859,M-1,58.117647,0.559594,0.500000,0.573529,0.661765
16,_verb_group,25,1061,1-1,1.240000,0.893333,0.800000,1.000000,1.000000
17,_similar_to,2,75,1-1,2.000000,0.800000,0.750000,0.750000,1.000000
