Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,Filtered MR,Filtered MRR,Filtered Hits@1,Filtered Hits@3,Filtered Hits@10
0,_hyponym,1160,7198,1-N,9551.604310,0.387448,0.369397,0.398707,0.414655
1,_hypernym,1193,7265,M-1,9759.875943,0.389736,0.374686,0.396899,0.417435
2,_member_holonym,264,6822,M-1,185.638258,0.986748,0.984848,0.988636,0.988636
3,_derivationally_related_form,1014,7259,1-1,9798.766272,0.424668,0.400888,0.447239,0.454635
4,_instance_hypernym,99,2699,M-1,96.742424,0.960480,0.944444,0.969697,0.994949
5,_also_see,51,1177,M-N,851.745098,0.960787,0.960784,0.960784,0.960784
6,_member_meronym,262,6852,1-N,354.114504,0.978696,0.977099,0.980916,0.980916
7,_member_of_domain_topic,117,2860,1-N,89.500000,0.927973,0.884615,0.965812,0.987179
8,_part_of,161,4421,M-1,18.605590,0.987634,0.987578,0.987578,0.987578
9,_instance_hyponym,101,2697,1-N,1.128713,0.981085,0.975248,0.985149,0.995050
10,_synset_domain_topic_of,120,2854,M-1,7.337500,0.931175,0.900000,0.950000,0.995833
11,_has_part,159,4430,1-N,1.003145,0.998428,0.996855,1.000000,1.000000
12,_member_of_domain_usage,27,585,1-N,1.092593,0.966049,0.944444,1.000000,1.000000
13,_member_of_domain_region,29,835,1-N,426.551724,0.892146,0.844828,0.931034,0.982759
14,_synset_domain_usage_of,19,582,M-1,1.210526,0.938597,0.894737,0.973684,1.000000
15,_synset_domain_region_of,27,840,M-1,1.518519,0.944199,0.925926,0.962963,0.962963
16,_verb_group,29,1039,1-1,1064.775862,0.965518,0.965517,0.965517,0.965517
17,_similar_to,2,75,1-1,1.000000,1.000000,1.000000,1.000000,1.000000
