Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,MR,MRR,Hits@1,Hits@3,Hits@10
0,_hyponym,1160,7198,1-N,9555.123276,0.330693,0.293534,0.356466,0.389224
1,_hypernym,1193,7265,M-1,9762.905281,0.335137,0.299665,0.359179,0.399413
2,_member_holonym,264,6822,M-1,187.810606,0.780392,0.698864,0.839015,0.920455
3,_derivationally_related_form,1014,7259,1-1,9799.167653,0.367606,0.303748,0.432446,0.454635
4,_instance_hypernym,99,2699,M-1,126.656566,0.539181,0.439394,0.611111,0.676768
5,_also_see,51,1177,M-N,852.617647,0.709425,0.558824,0.843137,0.960784
6,_member_meronym,262,6852,1-N,357.444656,0.750686,0.677481,0.797710,0.898855
7,_member_of_domain_topic,117,2860,1-N,117.128205,0.554535,0.495726,0.555556,0.679487
8,_part_of,161,4421,M-1,20.810559,0.711017,0.602484,0.782609,0.931677
9,_instance_hyponym,101,2697,1-N,30.123762,0.547355,0.430693,0.633663,0.702970
10,_synset_domain_topic_of,120,2854,M-1,31.420833,0.602963,0.545833,0.629167,0.700000
11,_has_part,159,4430,1-N,2.908805,0.730606,0.597484,0.833333,0.949686
12,_member_of_domain_usage,27,585,1-N,31.500000,0.535396,0.500000,0.537037,0.574074
13,_member_of_domain_region,29,835,1-N,496.172414,0.549999,0.500000,0.551724,0.655172
14,_synset_domain_usage_of,19,582,M-1,32.894737,0.524530,0.473684,0.552632,0.605263
15,_synset_domain_region_of,27,840,M-1,59.037037,0.547330,0.462963,0.611111,0.666667
16,_verb_group,29,1039,1-1,1065.068966,0.836208,0.724138,0.965517,0.965517
17,_similar_to,2,75,1-1,1.000000,1.000000,1.000000,1.000000,1.000000
