Relation ID,Relation Strings,Test Triple Count,Train Triple Count,Relation Type,MR,MRR,Hits@1,Hits@3,Hits@10
0,_hyponym,1141,7277,1-N,9608.043821,0.328126,0.294040,0.351446,0.386503
1,_hypernym,1204,7246,M-1,9223.367110,0.320157,0.283223,0.342193,0.384136
2,_member_holonym,261,6803,M-1,77.316092,0.775854,0.699234,0.833333,0.917625
3,_derivationally_related_form,1011,7176,1-1,11332.602374,0.356522,0.295747,0.416914,0.437685
4,_instance_hypernym,107,2673,M-1,177.957944,0.573050,0.485981,0.621495,0.714953
5,_also_see,50,1194,M-N,1388.440000,0.675079,0.520000,0.820000,0.910000
6,_member_meronym,284,6837,1-N,95.577465,0.784700,0.705986,0.846831,0.927817
7,_member_of_domain_topic,91,2855,1-N,273.835165,0.545732,0.478022,0.560440,0.681319
8,_part_of,170,4412,M-1,341.329412,0.693981,0.585294,0.779412,0.891176
9,_instance_hyponym,96,2722,1-N,28.109375,0.583838,0.494792,0.645833,0.750000
10,_synset_domain_topic_of,99,2908,M-1,242.797980,0.576095,0.515152,0.590909,0.722222
11,_has_part,176,4420,1-N,3.352273,0.725255,0.599432,0.832386,0.934659
12,_member_of_domain_usage,21,571,1-N,33.595238,0.505956,0.476190,0.500000,0.571429
13,_member_of_domain_region,32,859,1-N,66.453125,0.556183,0.500000,0.593750,0.656250
14,_synset_domain_usage_of,25,572,M-1,32.760000,0.527965,0.500000,0.520000,0.620000
15,_synset_domain_region_of,24,842,M-1,16.375000,0.667926,0.583333,0.729167,0.812500
16,_verb_group,35,1067,1-1,1.142857,0.928571,0.857143,1.000000,1.000000
17,_similar_to,7,73,1-1,1.142857,0.952381,0.928571,1.000000,1.000000
